dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_107	1	28	0.128707	success	5	24	0.236700	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_107/train/ours_31500/renders	
flower_108	1	28	0.151757	success	5	24	0.265444	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_108/train/ours_31500/renders	
flower_109	1	28	0.140409	success	5	24	0.253007	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_109/train/ours_31500/renders	
flower_110	1	28	0.192636	success	5	24	0.320558	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_110/train/ours_31500/renders	
flower_111	1	28	0.133038	success	5	24	0.252667	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_111/train/ours_31500/renders	
flower_112	1	28	0.141101	success	5	24	0.251916	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_112/train/ours_31500/renders	
flower_113	1	28	0.123565	success	5	24	0.236291	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_113/train/ours_31500/renders	
flower_114	1	28	0.055605	success	5	24	0.145166	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_114/train/ours_31500/renders	
flower_115	1	28	0.168121	success	5	24	0.283507	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_115/train/ours_31500/renders	
flower_116	1	28	0.131706	success	5	24	0.246028	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_116/train/ours_31500/renders	
flower_117	1	28	0.088120	success	5	24	0.232858	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_117/train/ours_31500/renders	
flower_118	1	28	0.121513	success	5	24	0.250634	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_118/train/ours_31500/renders	
flower_119	1	28	0.091591	success	5	24	0.225907	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_119/train/ours_31500/renders	
flower_120	1	28	0.000002	success	5	24	0.000002	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_120/train/ours_31500/renders	
flower_121	1	28	0.126006	success	5	24	0.234875	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_121/train/ours_31500/renders	
flower_122	1	28	0.042575	success	5	24	0.113772	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_122/train/ours_31500/renders	
flower_123	1	28	0.118611	success	5	24	0.236074	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_123/train/ours_31500/renders	
flower_124	1	28	0.151602	success	5	24	0.263198	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_124/train/ours_31500/renders	
flower_125	1	28	0.162267	success	5	24	0.281768	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_125/train/ours_31500/renders	
flower_126	1	28	0.143850	success	5	24	0.262459	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_126/train/ours_31500/renders	
flower_127	1	28	0.116460	success	5	24	0.229415	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_127/train/ours_31500/renders	
flower_128	1	28	0.049617	success	5	24	0.131510	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_128/train/ours_31500/renders	
flower_129	1	28	0.172681	success	5	24	0.300033	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_129/train/ours_31500/renders	
